time,acc_x,acc_y,acc_z,yaw,pitch,roll,Unnamed: 7,velocity_x,velocity_y,velocity_z,velocity_magnitude,momentum,normal_force,energy
1.139198,-0.1392,-0.1889,0.1894,-0.0147,0.0244,0.0098,,0.005819568947072,-0.0083604420923423,-0.0129313434279279,0.0164615921939571,0.40736982629504,676.956,0.0011853583955403646
1.152192,-0.1392,-0.1889,0.1894,0.0,0.0415,0.0238,,0.0064825063772522,-0.0073294640923423,-0.0156388216891892,0.0184476740170219,0.453775446407654,676.956,0.0014708011125890404
1.178198,-0.1392,-0.1889,0.1894,0.0079,0.0562,0.0379,,0.0071454438074324,-0.0062984860923423,-0.0183462999504504,0.0206715992640265,0.500181066520268,676.956,0.001787007852181091
1.192031,-0.1392,-0.1889,0.1894,0.0079,0.0562,0.0379,,0.0078083812376126,-0.0052675080923423,-0.0210537782117117,0.0230646707334559,0.546586686632882,676.956,0.002133978614316517
1.193154,0.1681,0.0774,-0.0443,0.0079,0.0562,0.0379,,0.0073317861148648,-0.0058485942286035,-0.0213080396779279,0.0232807580847602,0.5132250280405359,698.4670000000001,0.0018814280671943498
1.194235,0.1681,0.0774,-0.0443,0.0189,0.0648,0.0397,,0.0057156584391892,-0.008041744501126,-0.0191090843490991,0.0215057087926869,0.400096090743244,698.4670000000001,0.0011434062987716153
1.218376,0.1681,0.0774,-0.0443,0.0134,0.0635,0.033,,0.0040995307635135,-0.0102348947736486,-0.0169101290202703,0.0201869187096704,0.28696715344594503,698.4670000000001,0.0005882153368347754
1.232068,0.1681,0.0774,-0.0443,-0.0037,0.0764,0.0281,,0.0024834030878378,-0.0124280450461711,-0.0147111736914414,0.019417575181935,0.173838216148646,698.4670000000001,0.00021585518138388118
1.259669,0.1681,0.0774,-0.0443,-0.0037,0.0764,0.0281,,0.0008672754121621,-0.0146211953186936,-0.0125122183626126,0.0192636218697739,0.060709278851347,698.4670000000001,2.632583241893291e-05
1.260745,0.0214,-0.0319,-0.1137,-0.0037,0.0764,0.0281,,0.0010350415394144,-0.0152684590968468,-0.0116699046925676,0.0192453586538159,0.072452907759008,688.198,3.749588459096659e-05
1.261947,0.0214,-0.0319,-0.1137,-0.0257,0.0983,0.0238,,0.0029867014695946,-0.0143698363806305,-0.0121842326813063,0.0190753272398348,0.209069102871622,688.198,0.0003122134983967491
1.2722,0.0214,-0.0319,-0.1137,-0.0391,0.1038,0.0312,,0.0049383613997747,-0.0134712136644143,-0.012698560670045,0.0191602310528319,0.345685297984229,688.198,0.0008535594660174657
1.299106,0.0214,-0.0319,-0.1137,-0.0391,0.0977,0.0385,,0.0068900213299549,-0.0125725909481981,-0.0132128886587838,0.01949673982458,0.482301493096843,688.198,0.001661533787453172
1.31221,0.0214,-0.0319,-0.1137,-0.0391,0.0977,0.0385,,0.0088416812601351,-0.0116739682319819,-0.0137272166475225,0.0200722031345632,0.618917688209457,688.198,0.002736136462703847
1.313518,0.0197,-0.0401,0.0138,-0.0391,0.0977,0.0385,,0.0104324001130799,-0.011044267531729,-0.0144122965841831,0.0209409911480391,0.730268007915593,688.0790000000001,0.0038092240241786326
1.314746,0.0197,-0.0401,0.0138,-0.0324,0.0867,0.047,,0.0111715172058896,-0.0110490594857555,-0.0155002474285013,0.0220712977086988,0.782006204412272,688.0790000000001,0.004368097883852057
1.33855,0.0197,-0.0401,0.0138,-0.025,0.0855,0.044,,0.0114199736157995,-0.0114194220780978,-0.0168203172325554,0.0233182775904891,0.799398153105965,688.0790000000001,0.004564552908494484
1.352619,0.0197,-0.0401,0.0138,-0.0037,0.0971,0.0409,,0.0116684300257094,-0.0117897846704401,-0.0181403870366094,0.0245809870362891,0.816790101799658,688.0790000000001,0.004765329074270683
1.379599,0.0197,-0.0401,0.0138,-0.0037,0.0971,0.0409,,0.0119168864356194,-0.0121601472627825,-0.0194604568406635,0.0258571217311466,0.834182050493358,688.0790000000001,0.004970426381180737
1.380583,0.0053,0.0719,-0.0995,-0.0037,0.0971,0.0409,,0.0121554742498085,-0.0125781113168365,-0.0200403819656635,0.0266004012726534,0.850883197486595,687.071,0.005171444398321513
1.381716,0.0053,0.0719,-0.0995,-0.0037,0.1087,0.0458,,0.012384193468277,-0.0130436768326023,-0.0198801624116094,0.0268090770203872,0.86689354277939,687.071,0.005367888675090015
1.392233,0.0053,0.0719,-0.0995,-0.0373,0.1203,0.0501,,0.0126129126867455,-0.0135092423483681,-0.0197199428575554,0.0270270483326548,0.882903888072185,687.071,0.005567994825521295
1.419338,0.0053,0.0719,-0.0995,-0.0452,0.1093,0.0483,,0.0128416319052139,-0.0139748078641338,-0.0195597233035013,0.0272540921796709,0.898914233364973,687.071,0.005771762849615265
1.43254,0.0053,0.0719,-0.0995,-0.0452,0.1093,0.0483,,0.0130703511236824,-0.0144403733798996,-0.0193995037494473,0.0274899837681305,0.914924578657768,687.071,0.005979192747372103
1.4338,0.0079,-0.0251,-0.1605,-0.0452,0.1093,0.0483,,0.0132990703421509,-0.0149059388956654,-0.0192392841953932,0.027734497339557,0.930934923950563,687.253,0.006190284518791717
1.434683,0.0079,-0.0251,-0.1605,-0.0574,0.0935,0.0458,,0.0134441967498085,-0.0147213381051248,-0.0197367775208437,0.028053602420371,0.941093772486595,687.253,0.00632612491866465
1.462012,0.0079,-0.0251,-0.1605,-0.0977,0.0886,0.0385,,0.0135057303466554,-0.013886571008278,-0.0208919837257986,0.0284906404028332,0.945401124265878,687.253,0.0063841663268799
1.472037,0.0079,-0.0251,-0.1605,-0.0776,0.1038,0.0299,,0.0135672639435022,-0.0130518039114311,-0.0220471899307536,0.0289913576794504,0.949708476045154,687.253,0.00644247278194292
1.497555,0.0079,-0.0251,-0.1605,-0.0776,0.1038,0.0299,,0.0136287975403491,-0.0122170368145843,-0.0232023961357085,0.029552517614631,0.9540158278244371,687.253,0.006501044283853899
1.498179,0.0312,-0.0021,0.2039,-0.0776,0.1038,0.0299,,0.0137054242835923,-0.0119453601794491,-0.0247117107753482,0.0306789656614188,0.959379699851461,688.884,0.006574352917764853
1.49879,0.0312,-0.0021,0.2039,-0.0269,0.0977,0.0257,,0.013797144173232,-0.0122367740060257,-0.0265751338496725,0.0323471415203802,0.9658000921262401,688.884,0.006662641556793241
1.511148,0.0312,-0.0021,0.2039,-0.0354,0.0709,0.0269,,0.0138888640628716,-0.0125281878326023,-0.0284385569239968,0.034038324800808,0.9722204844010119,688.884,0.006751519073492416
1.537576,0.0312,-0.0021,0.2039,-0.0831,0.0464,0.0238,,0.0139805839525112,-0.0128196016591789,-0.0303019799983211,0.0357492504281124,0.9786408766757839,688.884,0.00684098546786248
1.552395,0.0312,-0.0021,0.2039,-0.0831,0.0464,0.0238,,0.0140723038421509,-0.0131110154857555,-0.0321654030726455,0.0374772146419566,0.985061268950563,688.884,0.006931040739903525
1.553256,-0.0375,-0.1157,0.0923,-0.0831,0.0464,0.0238,,0.0141640237317905,-0.013402429312332,-0.0340288261469698,0.0392199654345523,0.991481661225335,684.075,0.007021684889615356
1.554165,-0.0375,-0.1157,0.0923,-0.0898,0.0464,0.0177,,0.0143910014333671,-0.0135603268438636,-0.0337768867032761,0.0391390017978682,1.007370100335697,684.075,0.007248532278931087
1.578325,-0.0375,-0.1157,0.0923,-0.0446,0.0476,0.0147,,0.0147532369468806,-0.01358470808035,-0.0314095847415644,0.0372661281551578,1.032726586281642,684.075,0.007618030014378097
1.592292,-0.0375,-0.1157,0.0923,-0.0055,0.0476,0.0159,,0.0151154724603941,-0.0136090893168365,-0.0290422827798527,0.0354561561481148,1.058083072227587,684.075,0.007996712769532635
1.620029,-0.0375,-0.1157,0.0923,-0.0055,0.0476,0.0159,,0.0154777079739076,-0.013633470553323,-0.026674980818141,0.0337192165552831,1.083439558173532,684.075,0.008384580544394702
1.621337,-0.0196,0.0186,-0.0806,-0.0055,0.0476,0.0159,,0.0158399434874212,-0.0136578517898095,-0.0243076788564292,0.0320671791179766,1.108796044119484,685.328,0.008781633338964404
1.622384,-0.0196,0.0186,-0.0806,0.0079,0.0397,0.0153,,0.0158033716326914,-0.0143416874226924,-0.0225882211785013,0.0310750428656191,1.106236014288398,685.328,0.008741129423633434
1.632047,-0.0196,0.0186,-0.0806,-0.0202,0.0202,0.011,,0.0153679924097185,-0.0156849774519717,-0.0215166077843572,0.0307434239947324,1.075759468680295,685.328,0.008266131674680788
1.659222,-0.0196,0.0186,-0.0806,-0.044,0.0043,0.0098,,0.0149326131867455,-0.017028267481251,-0.020444994390213,0.0305113524055201,1.045282923072185,685.328,0.007804402780473796
1.672092,-0.0196,0.0186,-0.0806,-0.044,0.0043,0.0098,,0.0144972339637725,-0.0183715575105302,-0.0193733809960689,0.0303811094132838,1.014806377464075,685.328,0.007355942741012561
1.67391,-0.063,0.0422,0.0305,-0.044,0.0043,0.0098,,0.0140618547407995,-0.0197148475398095,-0.0183017676019247,0.0303540058250002,0.984329831855965,682.29,0.006920751556297088
1.674977,-0.063,0.0422,0.0305,-0.047,0.0,0.0079,,0.0136272334401607,-0.0210524510344812,-0.01723747514474,0.0304308681301963,0.953906340811249,682.29,0.006499552193142191
1.697858,-0.063,0.0422,0.0305,-0.0483,-0.0061,0.0006,,0.0132965226474048,-0.021610435467216,-0.0171768769229156,0.0306407169697553,0.9307565853183359,682.29,0.0061879130079532055
